mot,ACTEURS,OBJETS,LIEUX,ACTIONS
cache-cache,cache-cache,,,
Se cacher,,,,Se cacher
mise en évidence,,,,
hilarant,,,,hilarant
empêchement,,,,
Le canular,,,,
Le mal du pays,,,,
honnête,,,,
honneur,,honneur,,
honoré,,,,honoré
en l ' honneur,,,,
honneur,,honneur,,
honoré,,,,honoré
de l ' honneur,,,,
Hooligan,Hooligan,,,
hooliganisme,,hooliganisme,,
les hooligans,,,,
espoir,,espoir,,
Espérons,,,,Espérons
Espérons,,,,Espérons
désespérément,,désespérément,,
Espérance,,,,
l'espoir,,,,
dans l ' espoir,,,,
C'est affreux.,,,,
horrible,,,,
horrible,,,,
horrifié,,,,horrifié
hostile,,,,
C'est pas vrai.,,,,
Câlin,Câlin,,,
énorme,,,,
Câlins,,,,
huméreux,,,,
humilié,,,,humilié
humiliation,,humiliation,,
humour,,humour,,
humoristique,,,,
humour,,humour,,
humoristique,,,,
faim,,faim,,
hoprah,hoprah,,,
blessé,,,,blessé
Blessures,,,,
Blessures,,,,
hypocrite,hypocrite,,,
hystérie,,hystérie,,
hystérique,,,,
hystérique,,,,
Imbécile,Imbécile,,,
Imbécile,Imbécile,,,
ignorance,,ignorance,,
ignorant,,,,ignorant
Ignorer,,,,Ignorer
ignoré,,,,ignoré
ignore,,,,ignore
malade,,,,
illégale,,,,
analphabétisme,,,,
maladie,,maladie,,
maladies,,,,
Imbécile,Imbécile,,,
immobilisé,,,,immobilisé
immortel,,,,
immunitaire,,,,
impatient,,impatient,,
imparfait,,,,
importance,,importance,,
important,,,,
imposer,,,,imposer
imposée,,,,imposée
impose,,,,impose
imposant,,,,imposant
impotent,,,,impotent
impressionner,,,,impressionner
impressionné,,,,impressionné
impressionne,,,,impressionne
impressionnant,,,,
emprisonnés,,,,emprisonnés
améliorer,,,,améliorer
amélioré,,,,amélioré
amélioration,,amélioration,,
améliore,,,,améliore
l ' amélioration,,,,
incapacité,,incapacité,,
inaction,,inaction,,
insuffisant,,,,
incapable,,,,
inapte,,,,
encensés,,,,encensés
incompétence,,,,
incompétent,,,,
sans considération,,,,
Inconvénients,,,,
incommode,,,,
augmentation,,augmentation,,
augmenté,,,,augmenté
indécis,,,,
indestructible,,,,
indifférence,,,,
indifféremment,,,,
indigné,,,,indigné
indignation,,indignation,,
endoctrine,,,,
endoctrinement,,,,
endoctrines,,,,
endoctrinement,,,,
inefficace,,,,
inefficacement,,,,
en matières grasses,,,,
engourdissement,,engourdissement,,
infectés,,,,infectés
inférieur,,,,
enflammé,,,,enflammé
influence,,influence,,
Infraction,,Infraction,,
"autres, contenant en poids plus de 85 % en poids de matières textiles, d'une teneur en poids de matières textiles ou d'une teneur en poids de matières textiles, d'une teneur en poids de matières textiles, d'une teneur en poids de matières textiles ou d'une teneur en poids de matières textiles",,,,"autres, contenant en poids plus de 85 % en poids de matières textiles, d'une teneur en poids de matières textiles ou d'une teneur en poids de matières textiles, d'une teneur en poids de matières textiles, d'une teneur en poids de matières textiles ou d'une teneur en poids de matières textiles"
en fer ou en acier,,,,
les furiacés,,,,
et de l ' alimentation,,,,
inhiber,,,,inhiber
blessé,,,,blessé
Blessure,,,,
l'injustice,,,,
innover,,,,innover
innove,,,,innove
l'innovation,,,,
innovant,,,,
enquêté,,,,
Inquisitif,,,,
fous,,,,
insanité,,,,
Insûreté,Insûreté,,,
insensible,,,,
insensibilité,,,,
insignifiant,,,,
Insipide,Insipide,,,
l'inspiration,,,,
Inspiration,,,,
Inspirer,,,,Inspirer
inspiré,,,,inspiré
est source d'inspiration,,,,
inspirant,,,,inspirant
insulte,,insulte,,
insulté,,,,insulté
insultant,,,,
insultes,,,,
intact,,,,
intégrité,,intégrité,,
intelligent,,,,
intense,,,,
Intérêts,,,,
intéressé(e),,,,intéressé(e)
intéressant,,,,
Intérêts,,,,
interrogés,,,,
interrompre,,,,interrompre
interrompu,,,,interrompu
interruption,,interruption,,
interruption,,interruption,,
interruptions,,,,
intimider,,,,
intimidé,,,,
intimidants,,,,
intimidant,,,,intimidant
intimidation,,intimidation,,
complexe,,,,
intrigues,,,,
invincible,,,,
inviter,,,,inviter
invitant,,,,invitant
invulnérable,,,,
irate,irate,,,
ironique,,,,
ironie,,ironie,,
irrationnel,,irrationnel,,
irrésistible,,,,
irrésolue,,,,
irresponsable,,,,
irréversible,,,,
irritant,,,,irritant
irrité,,,,irrité
irritant,,,,irritant
isolé,,,,
démangeaisons,,,,
Abruti,,,,
"des types utilisés pour la fabrication de produits de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche",,,,"des types utilisés pour la fabrication de produits de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche, de la pêche"
emprisonnés,,,,emprisonnés
jaunty,,,,
jaloux,,,,
mise en péril,,,,
Imbécile,Imbécile,,,
Jésus,Jésus,,,
Bijoux,Bijoux,,,
bijoux,,,,
joculaire,,,,
joignez-vous,,,,joignez-vous
blague,,,,
blagues,,,,
"Joly, c'est tout.","Joly, c'est tout.",,,
jovial,,,,
joie,,joie,,
joyeux,,,,
joyeusement,,,,
Sans joie,,,,
joyeux,,,,
jubilaire,,,,
ruisselant,,,,ruisselant
justice,,justice,,
À juste titre,,,,
justifiés,,,,justifiés
Intéressant,,,,
tuer,,,,tuer
tué,,,,tué
Tuer,,,,
tue,,,,tue
genre,,genre,,
plus gentils,,,,
baiser,,,,baiser
kudos,kudos,,,
manque,,,,manque
manque d'adaptabilité,,,,manque d'adaptabilité
décalage,,décalage,,
largué,,,,largué
retard,,retard,,
décalages,,,,
boiteux,,,,
point de repère,,,,
rire,,rire,,
riant,,,,riant
rire,,rire,,
rire,,rire,,
rire,,rire,,
lancé,,,,lancé
Loi sur l'accès à l'information et l'accès à l'information,,,,Loi sur l'accès à l'information et l'accès à l'information
poursuite en justice,,,,
poursuite en justice,,,,
Paresseux,,,,
fuite,,fuite,,
fuite,,fuite,,
congé,,congé,,
juridique,,,,
juridique,,,,
clément,,,,
léthargique,,,,
léthargie,,léthargie,,
menteur,,menteur,,
menteurs,,,,
libéléreux,,,,
J'ai menti.,,,,J'ai menti.
sauveteur de vie,,,,
avec un cœur léger,,,,
comme,,,,
aimé,,,,aimé
aime,,,,aime
limitation,,limitation,,
limitée,,,,
limites,,,,
Contentieux,,,,
Litiges,,,,
vif,,,,
livides,,,,
Lmao,,,,
Lmfao,,,,
Défaut d'être,,,,
n'ayant pas été pris en considération,,,,n'ayant pas été pris en considération
Pâtes alimentaires,,,,
le désolation,,,,
hall d'entrée,,,,
l'exercice d'activités de lobbying,,,,
Lol,Lol,,,
solitaire,,,,
solitaire,,,,
Aspiration,,,,
métiers à tisser,,,,métiers à tisser
à l'horizon,,,,
qui se profilent,,,,qui se profilent
métiers à tisser,,,,métiers à tisser
lâche,,,,lâche
lâches,,,,
loser,,,,loser
perdre,,,,perdre
perte,,perte,,
perdu,,,,perdu
Agréable,,,,
amour,,amour,,
aimé,,,,aimé
amours,,,,
Magnifique.,,,,
affectueux,,,,
le plus bas,,,,
loyal,,,,
fidélisation,,,,
chance,,chance,,
Heureusement,,,,
chanceux,,,,
lugubres,,,,
lunatique,,,,
lunatiques,,,,
C'est pas vrai.,,,,
En train de rôder,,,,
Cerfs,,,,
fou,,,,
foudroyant,,,,
confectionnés,,,,confectionnés
follement,,,,
folie,,folie,,
obligatoire,,,,
manipulés,,,,manipulés
manipulant,,,,manipulant
manipulation,,manipulation,,
Merveilleux,,,,
merveilleux,,,,
merveilles,,,,
chef-d'œuvre,,chef-d'œuvre,,
chefs-d'œuvre,,,,
matière,,matière,,
Questions d ' ordre général,,,,
maturité,,maturité,,
significatif,,,,
sans signification,,,,
Médaille,,Médaille,,
médiocrité,,médiocrité,,
méditative,,,,
mélancolie,,mélancolie,,
menace,,,,menace
Menacés,,,,Menacés
la miséricorde,,,,
joyeux,,,,
C'est le désordre.,,,,
merdique,,,,
C'est la merde.,,,,
méthode,,méthode,,
Sans esprit,,,,
miracle,,miracle,,
mirth,,,,
mirthful,,,,
Avec ironie,,,,
Mauvais comportement,,,,
mauvaise conduite,,,,
Mauvais comportement,,,,
Mauvais comportement,,,,
le mal-fondé,,,,
malversations,,,,
malheureuse,,,,
la misère,,,,
se méfier,,,,se méfier
Mauvaise information,,,,
mal informé,,,,mal informé
mal interprété,,,,mal interprété
trompeur,,,,
Mauvaise lecture,,,,
Mauvaise déclaration,,,,
fausse représentation,,,,
Mademoiselle,Mademoiselle,,,
manqué,,,,manqué
manquant,,,,manquant
erreur,,erreur,,
erreur,,erreur,,
erreurs,,,,
erreur de prise,,,,
mécompréhension,,,,
Incompréhension,,,,
mécompréhension,,,,
mal compris,,,,
gémissements,,,,
gémissements,,,,
Les gémissements,,,,
les gémissements,,,,
s'il vous plaît.,,,,s'il vous plaît.
se moquait,,,,se moquait
se moquer,,,,se moquer
des moqueries,,,,
Mongering,,,,
monopoliser,,,,monopoliser
Monopolisé,,,,
monopolise,,,,monopolise
monopolisation,,monopolisation,,
d'humeur,,,,
mope,mope,,,
la morphologie,,,,
Imbécile,Imbécile,,,
Fils de pute,,,,
"c'est quoi, ce bordel ?",,,,"c'est quoi, ce bordel ?"
motiver,,,,motiver
motivé,,,,motivé
Motivation,,,,
motivation,,motivation,,
deuil,,deuil,,
deuil,,deuil,,
Deuil,Deuil,,,
deuil,,deuil,,
deuils,,,,deuils
Morpich,,,,
meurtre,,meurtre,,
meurtrier,,meurtrier,,
meurtre,,meurtre,,
meurtrière,,,,
meurtres,,,,
mythe,,mythe,,
n00b,,,,
naïf,,,,
C'est méchant.,,,,
naturel,,,,
naïf,,,,
dans le besoin,,,,
négatif,,,,
négativité,,,,
négligence,,négligence,,
négligé,,,,
négligence,,négligence,,
négligences,,,,
nerfs,,,,
nerveux,,,,
nerveux,,,,
Sympa.,Sympa.,,,
nifty,,,,
Niggas,,,,
Nègre,Nègre,,,
"Non, je ne suis pas d'accord.",,,,
pas de plaisir,,,,
noble,,,,
bruyant,,,,
Des absurdités,,,,
noob,,,,
naseux,,,,
pas bon,,,,
ne fonctionne pas,,,,ne fonctionne pas
notoire,,,,
roman,,roman,,
engourdissement,,engourdissement,,
noix,,noix,,
oblitère,,,,oblitère
oblitérés,,,,oblitérés
odieux,,,,
obscène,,obscène,,
obsédés,,,,obsédés
obsolète,,,,
obstacle,,obstacle,,
obstacles,,,,
obstiné,,,,
étrange,,,,
offense,,offense,,
offensé,,,,offensé
délinquant,,,,
pour infraction à la loi,,,,
offenses,,,,
hors ligne,,,,
C'est bon.,,,,
omineux,,,,
une fois dans une vie,,,,
Possibilités,,,,
occasion,,occasion,,
opprimés,,,,
oppressive,,,,
optimisme,,optimisme,,
optimiste,,,,
sans option,,,,
tollé,,tollé,,
outmanovered,,,,outmanovered
outrage,,outrage,,
outrés,,,,outrés
et de la sensibilisation,,,,
en suspens,,,,
surjoyé,,,,surjoyé
surcharge,,surcharge,,
oublié,,,,oublié
réaction excessive,,,,
surréaction,,,,
surréaction,,,,
des réactions excessives,,,,
survente,,,,survente
survente,,,,survente
surventes,,,,
sursimplification,,,,
sursimplifié,,,,
sursimplifie,sursimplifie,,,
sursimplifier,,,,
surestimation,,,,
surestimations,,,,
surpoids,,surpoids,,
oxymoron,,oxymoron,,
douleur,,douleur,,
douleur,,douleur,,
panique,,,,
paniqué,,,,paniqué
paniques,,,,
paradis,,,,
paradoxe,,paradoxe,,
pardon,,pardon,,
graciée,,,,graciée
grâce,,grâce,,
grâces,,,,
Parley,Parley,,,
passionné,,,,
passive,,,,
passivement,,,,
pathétique,,,,
salaire,,salaire,,
paix,,paix,,
pacifique,,,,
pacifiquement,,,,
Pénalité,,,,
sensuelle,,,,
parfait,,,,
perfectionné,,,,
parfaitement,,,,
parfaits,,,,
péril,,péril,,
parjure,,,,
auteur,,auteur,,
auteurs,,,,
perplexe,,,,
persécuter,,,,persécuter
persécutés,,,,
persécutés,,,,
Persécution,,,,
perturbés,,,,perturbés
Pousse-toi.,Pousse-toi.,,,
pessimisme,,pessimisme,,
pessimiste,,,,
pétrifié,,,,pétrifié
Phobique,,,,
pittoresque,,,,
empilement,,,,
pic,,pic,,
Piqué,,,,
pisse,,,,
en colère,,,,
Pleurer,,,,Pleurer
piteuse,,,,
piétinés,,,,piétinés
pitié,pitié,,,
ludique,,,,
agréable,,,,
S'il vous plaît.,,,,S'il vous plaît.
heureux,,,,
plaisir,,plaisir,,
poisé,,,,poisé
poison,,poison,,
empoisonnés,,,,empoisonnés
poisons,,,,
pollueur,,pollueur,,
pollués,,,,pollués
pollueur,,pollueur,,
pollueurs,,,,
Pollutes,Pollutes,,,
pauvres,,,,
pauvres,,,,
les plus pauvres,,,,
populaire,,,,
positif,,,,
positif,,,,
possessif,,,,
ajourner,,,,ajourner
reporté,,,,reporté
reports,,,,
Report de l ' exécution,,,,
pauvreté,,pauvreté,,
puissant,,,,
impuissants,,,,
éloges,,,,
loués,,,,loués
éloges,,,,
éloges,,,,
priez,priez,,,
prier,,,,prier
prie,,,,prie
"Pour l'application de l'article 2, paragraphe 1, point b), du règlement (UE) no 1308/2013, les États membres sont destinataires de la présente décision.","Pour l'application de l'article 2, paragraphe 1, point b), du règlement (UE) no 1308/2013, les États membres sont destinataires de la présente décision.",,,
"pour l'alimentation humaine ou animale, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes, à l'exclusion des produits à base de fruits et légumes",,,,
préparé,,,,préparé
pression,,pression,,
sous pression,,,,
Fais semblant.,,,,Fais semblant.
faire semblant,,,,faire semblant
prétend,,,,prétend
joli,,,,
prévenir,,,,prévenir
évité,,,,évité
prévenir,,,,prévenir
prévient,,,,prévient
"C'est quoi, ça ?",,,,"C'est quoi, ça ?"
prison,,prison,,
prisonnier,,prisonnier,,
prisonniers,,,,
privilégié,,,,
proactif,,,,
problème,,problème,,
problèmes,,problèmes,,
profiteur,,profiteur,,
progrès accomplis,,,,progrès accomplis
Élevé,,,,
promesse,,promesse,,
promis,,,,promis
promesses,,,,
promouvoir,,,,promouvoir
promus,,,,promus
favorise,,,,favorise
promouvoir,,,,promouvoir
propagande,,propagande,,
poursuivre,,,,poursuivre
poursuivis,,,,poursuivis
poursuites,,,,
poursuite,,poursuite,,
perspective,,perspective,,
perspectives,,,,
prospère,,,,
protéger,,,,protéger
protégé,,,,protégé
protège,,,,protège
protestation,,protestation,,
manifestants,,,,
des protestations,,,,
manifestations,,,,
fier,,,,
fièrement,,,,
provoquer,,,,provoquer
provoqués,,,,provoqués
provoque,,,,provoque
Provoquer,,,,Provoquer
pseudoscience,,,,
punir,,,,punir
puni,,,,
punit,,,,punit
punitif,,,,
Poussé,,,,Poussé
puzzled,,,,
tremblement,,tremblement,,
douteux,,,,
questionné,,,,questionné
questionnement,,,,
racisme,,racisme,,
raciste,,,,
racistes,,,,
rage,rage,,,
furieuse,,,,
pluvieux,,,,
C'est vrai.,,,,C'est vrai.
Courbure,,,,
Les rainures,,,,
Ce n'est pas le cas.,,,,
viol,,viol,,
violeur,,violeur,,
rapt,,rapt,,
rapturée,,,,
enlèvements,,,,
raptures,,,,
éruption cutanée,,,,
ratifiés,,,,ratifiés
portée,,,,portée
atteint,,,,atteint
atteint,,,,atteint
atteindre,,,,atteindre
rassurez-vous,,,,rassurez-vous
rassuré,,,,rassuré
rassure,,,,rassure
rassurant,,,,
rébellion,,rébellion,,
récession,,récession,,
imprudent,,,,
recommander,,,,recommander
recommandé,,,,recommandé
recommande,,,,recommande
rachetés,,,,rachetés
déchets,,déchets,,
refusé,,,,refusé
refus,,refus,,
regret,,regret,,
regrettant,,,,regrettant
regrette,,,,regrette
regrettant,,,,regrettant
regrettant,,,,regrettant
rejeter,,,,rejeter
rejeté,,,,rejeté
rejet,,rejet,,
rejette,,,,rejette
réjouissez-vous,,,,réjouissez-vous
se réjouissait,,,,se réjouissait
se réjouit,,,,se réjouit
se réjouissant,,,,se réjouissant
Détendez-vous,Détendez-vous,,,
implacable,,,,
d ' une capacité d ' accueil,,,,
soulager,,,,soulager
soulagé,,,,soulagé
soulage,,,,soulage
Soulagement,,,,
l'appréciation,,,,
remarquable,,,,
remords,,remords,,
Répulsion,,,,
repoussés,,,,repoussés
sauvetage,,sauvetage,,
secourus,,,,secourus
sauvetages,,,,
le ressentiment,,,,
démissionner,,,,démissionner
démissionnaire,,,,
démission,,démission,,
démissionne,,,,démissionne
Résolu,Résolu,,,
résoudre,,,,résoudre
résolu,,,,résolu
résout,,,,résout
résolution,,résolution,,
respecté,,,,respecté
responsable,,responsable,,
réactif,,,,
reposée,,,,reposée
agité,,,,agité
restaurer,,,,restaurer
restauré,,,,restauré
restaure,,,,restaure
restauration,,restauration,,
restreindre,,,,restreindre
limité,,,,
restreignant,,,,restreignant
Restriction,,,,
Limitations,,,,
laissé en place,,,,laissé en place
retard,,retard,,
retardés,,,,
Retraite,,,,
revanche,,revanche,,
se venger,,,,se venger
vénérés,,,,vénérés
Réveillez-vous,,,,
Rénove,,,,
récompense,,récompense,,
récompensé,,,,récompensé
gratifiant,,,,gratifiant
Récompenses,,,,
riches,,,,
ridicule,,,,
système d'alimentation,,,,
truqué,,,,truqué
direction droite,,,,
rigoureux,,,,
rigoureusement,,,,
émeute,,émeute,,
émeutes,,,,
risque,,risque,,
risques,,,,
Vol,,,,
voleur,,voleur,,
volés,,,,volés
Vols,,,,
Vols,,,,
robuste,,,,
pour les véhicules à moteur à moteur à allumage par compression,,,,
roflcopter,,,,
Roflmao,,,,
romance,,,,
pourriture,,,,
pourritifao,,,,
pourritrol,,,,
ruine,,ruine,,
ruiné,,,,ruiné
ruiner,,,,ruiner
ruines,,,,
sabotage,,sabotage,,
triste,,,,
tristement triste,,,,
attristés,,,,attristés
tristement,,,,
sans danger,,,,
En toute sécurité,,,,
sécurité,,sécurité,,
saillant,,,,
C'est de l'ivraie.,,,,
sarcastique,,,,
satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/,satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/ satisfait/,,,
Enregistrer,,,,Enregistrer
sauvé,,,,sauvé
Escroquerie,,,,
escroqueries,,,,
scandale,,scandale,,
scandaleux,,,,
scandales,,,,
bouc émissaire,,,,
boucs émissaires,,,,
Frayeur,,,,
peur,,peur,,
effrayant,,,,
sceptique,,,,
gronder,,,,gronder
scoop,,,,
le dédain,,,,
méprisant,,,,
Crie,,,,
hurlé,,,,hurlé
Des cris,,,,
cris,,,,
vissé,,,,vissé
J'ai foiré.,,,,
Casse-culotte,,,,
Sécurisation,,,,
sécurisés,,,,
sécurise,,,,sécurise
sédition,,sédition,,
séditieux,,,,
séduits,,,,séduits
confiance en soi,,,,
s'auto-effacer,,,,s'auto-effacer
égoïste,,,,
égoïsme,,égoïsme,,
phrase,,phrase,,
condamné,,,,condamné
phrases,,,,
détermination de la peine,,,,
sereine,,,,
sévère,,,,
sexy,,,,
Shaky,Shaky,,,
honte,,honte,,
honteux,,,,
honteux,,,,
Part,Part,,,
partagé,,,,partagé
actions,,,,
brisé,,,,brisé
C'est de la merde.,,,,
C'est de la merde.,,,,
C'est de la merde.,,,,
choc,,choc,,
choqué,,,,choqué
stupéfiant,,,,
chocs,,,,
prise de vue,,,,
à courte vue,,,,
myopie,,myopie,,
pénurie,,pénurie,,
pénuries,,,,
museau,,museau,,
timide,,,,
malade,,,,
soupir,,soupir,,
signification,,signification,,
significatif,,,,
silencieux,,,,
Imbécile,Imbécile,,,
sincère,,,,
"Je vous prie d'agréer, Monsieur le Président, l'expression de mes sentiments les plus sincères.",,,,"Je vous prie d'agréer, Monsieur le Président, l'expression de mes sentiments les plus sincères."
Sincerest,,,,
sincérité,,sincérité,,
pécheur,,pécheur,,
un seul et même esprit,,,,
sceptique,,,,
sceptique,,,,
scepticisme,,scepticisme,,
les sceptiques,,,,
slam,,,,
Slash,Slash,,,
cliquetis,,,,
Slashes,Slashes,,,
Soufflures,,,,
l ' esclavage,,,,
Insomnie,,Insomnie,,
Lécher,,,,Lécher
slicker,,,,
C'est le plus léché.,,,,
paresseux,,,,
salope,,salope,,
Intelligent,,,,
Plus intelligent,,,,
C'est le plus intelligent.,,,,
frotter,,,,frotter
sourire,,,,sourire
souriant,,,,souriant
sourires,,,,
souriant,,,,souriant
smog,,smog,,
Sournois,,,,
snub,,,,
brouillés,,,,brouillés
à frotter,,,,à frotter
les snubs,,,,
soûler,,,,
solennel,,,,
solide,,,,
solidarité,,solidarité,,
solution,,solution,,
solutions,,solutions,,
résoudre,,,,résoudre
résolu,,,,résolu
résout,,,,résout
résolution,,résolution,,
sombre,,,,
d'une sorte,,,,
Fils de pute,,,,
Soulagez-vous.,Soulagez-vous.,,,
apaisé,,,,
Apaisant,,,,Apaisant
sophistiqué,,,,
endolorissement,,,,
douleur,,douleur,,
affligeant,,,,affligeant
Désolé.,,,,
Spam,,,,
Spammeur,,,,
les spammeurs,,,,
pourriels,,,,
étincelle,,étincelle,,
étincelant,,,,étincelant
étincelants,,,,
étincelant,,,,étincelant
spéculatif,,,,
esprit,,esprit,,
esprité,,,,
Sans esprit,,,,
Malheur à moi.,,,,
Magnifique,,,,
épouvantable,,,,
Séculièrement,,,,
coup de couteau,,,,
poignardé,,,,poignardé
stable,,,,
coups de couteau,,,,
Décrochage,,,,
calmé,,,,calmé
calage,,,,
endurance,,endurance,,
estampe,,,,
stupéfié,,,,stupéfié
Meurtre de faim,,,,
affamés,,,,
Meurtres de faim,,,,
mourir de faim,,,,mourir de faim
Résistant,,,,
Voler,,,,Voler
Vols,,,,
stéréotype,,stéréotype,,
stéréotypé,,,,
étouffé,,,,étouffé
stimuler,,,,stimuler
stimulé,,,,stimulé
stimule,,,,stimule
stimulant,,,,stimulant
- C'est pas vrai.,,,,
volé,,,,volé
Arrêter,,,,Arrêter
arrêté,,,arrêté,
arrêt,,arrêt,,
stops,,,,
Découpe,,,,
droit,,droit,,
étrange,,,,
étrangement,,,,
étranglé,,,,
force,,force,,
renforcer,,,,renforcer
renforcée,,,,renforcée
renforcement,,renforcement,,
renforce,,,,
souligné,,,,souligné
stresseur,,,,
les facteurs de stress,,,,
Atteints,,,,Atteints
grève,,grève,,
grévistes,,,,
grèves,,,,
Forte,,,,
plus fort,,,,
plus fort,,,,
frappé,,,,frappé
lutte,,lutte,,
lutté,,,,lutté
luttes,,,,
lutte,,lutte,,
Têtu,Têtu,,,
coincé,,,,
stupéfié,,,,stupéfié
étourdissant,,,,étourdissant
stupide,,,,
stupidement,,,,
Suave,Suave,,,
substantielles,,,,
substantiellement,,,,
subversive,,,,
succès,,succès,,
succès,,succès,,
Nourriture,,,,
C'est nul.,,,,
souffrir,,,,souffrir
la souffrance,,,,
souffre,,,,souffre
suicidaire,,,,
suicide,,suicide,,
poursuite en justice,,,,
Faire bouillir,,,,Faire bouillir
Sourcils,,,,
sullen,,,,
soleil,,,,
super,,,,
superbe,,,,
supérieur,,supérieur,,
Appui,,,,
soutenu,,,,soutenu
l'appui à l'entreprise,,,,
sympathisants,,,,
soutien,,soutien,,
Soutien,,,,
soutiens,,,,
Survivre,Survivre,,,
survivant,,,,survivant
survivant,,,,survivant
suspect,,,,
suspectés,,,,suspectés
suspecté,,,,suspecté
suspects,,,,
suspendre,,,,suspendre
suspendue,,,,suspendue
suspect,,,,
Je vous jure,,,,Je vous jure
prêter serment,,,,prêter serment
jure,,,,jure
C'est mignon.,,,,
rapide,,,,
rapidement,,,,
escroquerie,,escroquerie,,
escroqueries,,,,
escroquerie,,escroquerie,,
sympathique,,,,
sympathie,,sympathie,,
Tard,,,,
larmes,,,,
Appel d'offres,,,,
tendue,,,,
tension,,tension,,
terrible,,,,
terriblement,,,,
Fantastique,,,,
terrifié,,,,terrifié
terreur,,terreur,,
terroriser,,,,terroriser
terrorisé,,,,terrorisé
terrorise,,,,terrorise
Merci beaucoup.,,,,
reconnaissant,,,,reconnaissant
Merci beaucoup.,,,,
épineuse,,,,
C'est gentil.,,,,
irréfléchi,,,,
menace,,,,menace
menace,,,,menace
Menacés,,,,Menacés
menaçant,,,,menaçant
menace,,,,menace
menaces,,,,
ravie,,,,
déjouer,,,,déjouer
déjoué,,,,déjoué
déjouer,,,,déjouer
déjoue,,,,déjoue
timidité,,timidité,,
timoreux,,,,
fatigué,,,,
seins,,,,
Tolérance,,,,
sans dents,,,,
haut,,,,
haut de la page,,,,
déchiré,,,,déchiré
torture,,torture,,
torturés,,,,
tortures,,,,
tortionnement,,,,
totalitaire,,,,
totalitarisme,,totalitarisme,,
tout,,,,
d'une teneur en poids de matières grasses égale ou supérieure à 5 % en poids,,,,
le toutage,,,,
touts,,,,
tragédie,,tragédie,,
tragique,,,,
tranquille,,,,
piège,,piège,,
Pris au piège,,,,Pris au piège
Traumatisme,,,,
traumatique,,,,
paresseux,,,,
trahison,,trahison,,
trahison,,trahison,,
Trésor,Trésor,,,
trésors,,,,
tremblant,,,,tremblant
tremblante,,,,
piégeant,,,,piégeant
La ruse,,,,
triomphe,,triomphe,,
triomphant,,,,
Problèmes,,,,
trouble,,,,
problèmes,,problèmes,,
vrai,,,,
confiance,,confiance,,
confiance,,confiance,,
tumeur,,tumeur,,
Twat,,,,
Laid,Laid,,,
inacceptable,,,,
non appréciés,,,,non appréciés
non approuvé,,,,non approuvé
ignorant,,,,ignorant
incroyable,,,,
incrédule,,,,
sans partialité,,,,
incertain,,,,
peu clair,,,,
inconfortable,,,,
non concernés,,,,non concernés
non confirmé,,,,non confirmé
non convaincu,,,,non convaincu
non crédités,,,,non crédités
indécis,,,,
sous-estimation,,sous-estimation,,
sous-estimé,,,,sous-estimé
sous-estimations,sous-estimations,,,
sous-estimation,,sous-estimation,,
saper,,,,saper
miné,,,,miné
s'affaiblit,,,,s'affaiblit
saper,,,,saper
non-déservant,,,,non-déservant
indésirables,,,,
